PRISM Time Series Data
Location:  Lat: 44.1653   Lon: -121.7836   Elev: 2381m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1968 - 2018
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
1968,3836.56,1.1
1969,3022.54,0.8
1970,3853.62,1.1
1971,4347.77,0.4
1972,3854.04,1.1
1973,3666.73,1.6
1974,3787.01,2.1
1975,3894.13,0.4
1976,2460.28,2.4
1977,3611.97,2.0
1978,2592.77,1.5
1979,2881.85,1.7
1980,3138.22,1.5
1981,3476.93,1.5
1982,3915.18,-0.1
1983,3602.22,0.3
1984,4003.91,0.2
1985,2459.00,0.9
1986,3198.94,2.6
1987,1969.52,3.3
1988,3402.13,2.9
1989,2706.25,1.8
1990,3566.99,1.4
1991,2930.75,2.1
1992,2599.40,3.1
1993,2860.32,1.1
1994,3059.55,1.8
1995,3936.89,1.8
1996,5032.41,1.5
1997,3372.17,1.4
1998,3503.10,1.5
1999,3570.02,1.3
2000,2799.54,1.4
2001,2800.36,1.7
2002,2601.82,1.8
2003,3388.43,2.3
2004,2441.62,2.0
2005,2368.20,1.8
2006,3011.24,1.5
2007,2848.24,1.1
2008,3383.32,0.8
2009,2721.17,1.3
2010,2963.05,0.9
2011,2744.89,0.6
2012,3585.36,1.8
2013,2580.17,2.2
2014,4123.21,3.0
2015,2578.72,3.6
2016,3359.12,2.3
2017,3612.85,2.2
2018,2538.37,2.3
