PRISM Time Series Data
Location:  Lat: 44.1653   Lon: -121.7836   Elev: 7812ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1968 - 2018
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
1968,151.05,34.0
1969,119.00,33.5
1970,151.72,34.0
1971,171.17,32.8
1972,151.73,34.1
1973,144.36,34.8
1974,149.09,35.7
1975,153.31,32.7
1976,96.86,36.3
1977,142.20,35.6
1978,102.08,34.7
1979,113.46,35.1
1980,123.55,34.8
1981,136.89,34.6
1982,154.14,31.8
1983,141.82,32.6
1984,157.63,32.4
1985,96.81,33.7
1986,125.94,36.6
1987,77.54,38.0
1988,133.94,37.3
1989,106.55,35.3
1990,140.43,34.5
1991,115.38,35.8
1992,102.34,37.6
1993,112.61,34.0
1994,120.45,35.3
1995,155.00,35.2
1996,198.13,34.7
1997,132.76,34.6
1998,137.92,34.7
1999,140.55,34.3
2000,110.22,34.5
2001,110.25,35.1
2002,102.43,35.2
2003,133.40,36.1
2004,96.13,35.7
2005,93.24,35.2
2006,118.55,34.6
2007,112.14,34.0
2008,133.20,33.4
2009,107.13,34.4
2010,116.66,33.6
2011,108.07,33.0
2012,141.16,35.3
2013,101.58,35.9
2014,162.33,37.3
2015,101.52,38.6
2016,132.25,36.1
2017,142.24,35.9
2018,99.94,36.0
