PRISM Time Series Data
Location:  Lat: 45.3788   Lon: -121.6908   Elev: 2547m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1968 - 2018
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Mar-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
1968,3831.18,-1.2
1969,2860.54,-1.5
1970,3798.13,-1.4
1971,4333.98,-1.8
1972,4010.40,-1.5
1973,3358.98,-1.3
1974,3681.49,-1.1
1975,4252.73,-1.9
1976,2801.80,-1.3
1977,3723.92,-1.3
1978,2383.57,-1.5
1979,2776.44,-1.2
1980,3242.56,-1.5
1981,3145.57,-0.9
1982,3579.31,-1.7
1983,3351.05,-1.3
1984,4150.32,-2.2
1985,2813.69,-2.2
1986,2816.70,-0.7
1987,2339.07,-0.2
1988,3248.79,-0.9
1989,2577.41,-1.2
1990,3889.27,-1.3
1991,2998.18,-0.9
1992,2661.66,0.3
1993,2480.77,-1.7
1994,3351.11,-0.7
1995,3754.42,-0.9
1996,4602.11,-1.2
1997,3563.42,-1.0
1998,3438.05,-0.6
1999,3480.79,-1.2
2000,2812.47,-1.5
2001,2839.26,-1.1
2002,2669.98,-1.0
2003,3182.74,-0.4
2004,2938.75,-0.2
2005,2699.13,-0.7
2006,3613.22,-0.5
2007,3123.01,-0.6
2008,3915.97,-1.0
2009,2957.13,-0.6
2010,3377.18,-0.7
2011,3247.43,-1.3
2012,3869.20,-0.4
2013,2916.16,-0.2
2014,3775.91,0.3
2015,2794.36,1.4
2016,3286.16,0.1
2017,3549.06,-0.3
2018,2628.35,0.1
