Date,bn_(mm),Number_of_glaciers,Cumulative_bn_(mm)
1946,-529,3,-529
1947,-1770,3,-2298
1948,301,6,-1997
1949,-994,7,-2991
1950,-1109,8,-4100
1951,-360,8,-4460
1952,-648,7,-5108
1953,-431,8,-5539
1954,-201,9,-5740
1955,221,9,-5519
1956,-200,10,-5719
1957,-85,18,-5804
1958,-361,28,-6165
1959,-484,26,-6649
1960,-229,30,-6877
1961,-191,32,-7068
1962,-239,38,-7308
1963,-363,52,-7671
1964,-73,54,-7743
1965,301,57,-7443
1966,-113,67,-7556
1967,120,74,-7436
1968,90,82,-7345
1969,-358,75,-7704
1970,-211,90,-7915
1971,-152,77,-8067
1972,-148,79,-8215
1973,-83,77,-8298
1974,-103,79,-8401
1975,-7,78,-8408
1976,-64,67,-8472
1977,-184,75,-8655
1978,-149,73,-8804
1979,-373,77,-9177
1980,-217,80,-9394
1981,-177,86,-9571
1982,-299,91,-9870
1983,-113,90,-9983
1984,-127,89,-10111
1985,-390,78,-10501
1986,-320,73,-10821
1987,-221,73,-11042
1988,-424,78,-11466
1989,-109,84,-11575
1990,-310,85,-11885
1991,-345,78,-12230
1992,-228,80,-12458
1993,-109,85,-12567
1994,-528,83,-13094
1995,-287,79,-13381
1996,-292,72,-13673
1997,-294,64,-13967
1998,-966,65,-14933
AVERAGE,,,
1961-98,-212,74,
1961-76,-100,67,
1977-98,-294,70,
